Região,Município,UF,Lat,Long
Sul de Minas,Aiuruoca,MG,-21.9750633,-44.6036109
Sul de Minas,Tapiraí,MG,-19.8868478,-46.0200063
Sul de Minas,Cabo Verde,MG,-21.4730317,-46.3970615
Sul de Minas,Contagem,MG,-19.9384589,-44.0518344
Sul de Minas,Estiva,MG,-22.465012,-46.0157038
Sul de Minas,Itaguara,MG,-20.3922738,-44.486416
Sul de Minas,Liberdade,MG,-22.0277329,-44.3200076
Sul de Minas,Passa Quatro,MG,-22.3829371,-44.9666211
Sul de Minas,Rio Manso,MG,-20.266236,-44.3089514
Sul de Minas,Sapucaí-Mirim,MG,-22.7472478,-45.7431742
Sul de Minas,São Sebastião do Paraíso,MG,-20.9188537,-46.984882
Sul de Minas,Aguanil,MG,-20.9431969,-45.3915696
Sul de Minas,Arceburgo,MG,-21.3654678,-46.9418638
Sul de Minas,Caldas,MG,-21.9234119,-46.3886147
Sul de Minas,Coqueiral,MG,-21.1901619,-45.4393631
Sul de Minas,Extrema,MG,-22.8542299,-46.3189034
Sul de Minas,Itajubá,MG,-22.4247429,-45.4601323
Sul de Minas,Luminárias,MG,-21.5107696,-44.9041132
Sul de Minas,Passa Tempo,MG,-20.6523602,-44.4954993
Sul de Minas,Santa Cruz de Minas,MG,-21.1202699,-44.2246696
Sul de Minas,Sarzedo,MG,-20.0359196,-44.1456593
Sul de Minas,Belo Vale,MG,-20.4092733,-44.0257154
Sul de Minas,Alagoa,MG,-22.171384,-44.6438278
Sul de Minas,Camanducaia,MG,-22.7563618,-46.1479233
Sul de Minas,Cordislândia,MG,-21.7925148,-45.7000359
Sul de Minas,Fama,MG,-21.4073667,-45.8301095
Sul de Minas,Itamonte,MG,-22.2830147,-44.8698779
Sul de Minas,Machado,MG,-21.6803986,-45.919
Sul de Minas,Passa-Vinte,MG,-22.2086435,-44.2358985
Sul de Minas,Santa Rita de Caldas,MG,-22.0287986,-46.3361939
Sul de Minas,Senador Amaral,MG,-22.5870487,-46.176105
Sul de Minas,Betim,MG,-19.9697308,-44.2032108
Sul de Minas,Albertina,MG,-22.199219,-46.6170595
Sul de Minas,Cambuí,MG,-22.6100267,-46.0576301
Sul de Minas,Coronel Xavier Chaves,MG,-21.0232864,-44.2250395
Sul de Minas,Florestal,MG,-19.8876626,-44.4331986
Sul de Minas,Itanhandu,MG,-22.2956251,-44.9370154
Sul de Minas,Madre de Deus de Minas,MG,-21.4824668,-44.3301892
Sul de Minas,Passos,MG,-20.7221434,-46.6133353
Sul de Minas,Santa Rita de Jacutinga,MG,-22.1489307,-44.092568
Sul de Minas,Senador José Bento,MG,-22.1642393,-46.1774373
Sul de Minas,Boa Esperança,MG,-21.092795,-45.5628734
Sul de Minas,Alfenas,MG,-21.4245173,-45.9470205
Sul de Minas,Campestre,MG,-21.7120618,-46.2440779
Sul de Minas,Córrego do Bom Jesus,MG,-22.6305924,-46.0199367
Sul de Minas,Formiga,MG,-20.4653377,-45.4254013
Sul de Minas,Itapecerica,MG,-20.4719298,-45.124195
Sul de Minas,Mateus Leme,MG,-19.9911254,-44.4328849
Sul de Minas,Pedra do Indaiá,MG,-20.2577518,-45.2086164
Sul de Minas,Santana da Vargem,MG,-21.2482891,-45.5058363
Sul de Minas,Seritinga,MG,-21.9092833,-44.5195224
Sul de Minas,Bocaina de Minas,MG,-22.1683629,-44.3952834
Sul de Minas,Alpinópolis,MG,-20.8603678,-46.3875947
Sul de Minas,Campo do Meio,MG,-21.1083947,-45.83058620000001
Sul de Minas,Córrego Fundo,MG,-20.4489062,-45.5554058
Sul de Minas,Fortaleza de Minas,MG,-20.8499693,-46.7119663
Sul de Minas,Itapeva,MG,-22.7682228,-46.2221065
Sul de Minas,Matozinhos,MG,-19.565346,-44.0787083
Sul de Minas,Pedro Leopoldo,MG,-19.6194826,-44.041371
Sul de Minas,Santana do Garambéu,MG,-21.6019662,-44.1078879
Sul de Minas,Serrania,MG,-21.5479717,-46.0399014
Sul de Minas,Bom Jesus da Penha,MG,-21.0179087,-46.5215061
Sul de Minas,Alterosa,MG,-21.2561969,-46.1446701
Sul de Minas,Campos Gerais,MG,-21.2377204,-45.7616398
Sul de Minas,Cristais,MG,-20.8745486,-45.51930000000001
Sul de Minas,Funilândia,MG,-19.369218,-44.0597067
Sul de Minas,Itatiaiuçu,MG,-20.1982541,-44.42107559999999
Sul de Minas,Minduri,MG,-21.6807036,-44.60027669999999
Sul de Minas,Pimenta,MG,-20.4800291,-45.8000333
Sul de Minas,Santo Antônio do Monte,MG,-20.0869077,-45.2903749
Sul de Minas,Serranos,MG,-21.8910395,-44.5138335
Sul de Minas,Capitólio,MG,-20.6140757,-46.04787930000001
Sul de Minas,Andradas,MG,-22.0709856,-46.5734039
Sul de Minas,Capim Branco,MG,-19.5476319,-44.1301624
Sul de Minas,Crucilândia,MG,-20.3927702,-44.3383562
Sul de Minas,Gonçalves,MG,-22.6593169,-45.85445259999999
Sul de Minas,Itaú de Minas,MG,-20.7436991,-46.7505432
Sul de Minas,Monsenhor Paulo,MG,-21.7569853,-45.5403139
Sul de Minas,Piracema,MG,-20.5098104,-44.478429
Sul de Minas,São João Batista do Glória,MG,-20.6410757,-46.50561769999999
Sul de Minas,Sete Lagoas,MG,-19.4646696,-44.24525269999999
Sul de Minas,Conceição dos Ouros,MG,-22.4124609,-45.7972365
